ORIGID,CountyName,PopulationCensus16,TimeStamp,ConfirmedCovidCases
1,Carlow,56932,2020/02/27  ,0
2,Cavan,76176,2020/02/27  ,0
3,Clare,118817,2020/02/27  ,0
4,Cork,542868,2020/02/27  ,0
5,Donegal,159192,2020/02/27  ,0
6,Dublin,1347359,2020/02/27  ,0
7,Galway,258058,2020/02/27  ,0
8,Kerry,147707,2020/02/27  ,0
9,Kildare,222504,2020/02/27  ,0
10,Kilkenny,99232,2020/02/27  ,0
11,Laois,84697,2020/02/27  ,0
12,Leitrim,32044,2020/02/27  ,0
13,Limerick,194899,2020/02/27  ,0
14,Longford,40873,2020/02/27  ,0
15,Louth,128884,2020/02/27  ,0
16,Mayo,130507,2020/02/27  ,0
17,Meath,195044,2020/02/27  ,0
18,Monaghan,61386,2020/02/27  ,0
19,Offaly,77961,2020/02/27  ,0
20,Roscommon,64544,2020/02/27  ,0
21,Sligo,65535,2020/02/27  ,0
22,Tipperary,159553,2020/02/27  ,0
23,Waterford,116176,2020/02/27  ,0
24,Westmeath,88770,2020/02/27  ,0
25,Wexford,149722,2020/02/27  ,0
26,Wicklow,142425,2020/02/27  ,0
1,Carlow,56932,2020/03/01  ,0
2,Cavan,76176,2020/03/01  ,0
3,Clare,118817,2020/03/01  ,0
4,Cork,542868,2020/03/01  ,0
5,Donegal,159192,2020/03/01  ,0
6,Dublin,1347359,2020/03/01  ,0
7,Galway,258058,2020/03/01  ,0
8,Kerry,147707,2020/03/01  ,0
9,Kildare,222504,2020/03/01  ,0
10,Kilkenny,99232,2020/03/01  ,0
11,Laois,84697,2020/03/01  ,0
12,Leitrim,32044,2020/03/01  ,0
13,Limerick,194899,2020/03/01  ,0
14,Longford,40873,2020/03/01  ,0
15,Louth,128884,2020/03/01  ,0
16,Mayo,130507,2020/03/01  ,0
17,Meath,195044,2020/03/01  ,0
18,Monaghan,61386,2020/03/01  ,0
19,Offaly,77961,2020/03/01  ,0
20,Roscommon,64544,2020/03/01  ,0
21,Sligo,65535,2020/03/01  ,0
22,Tipperary,159553,2020/03/01  ,0
23,Waterford,116176,2020/03/01  ,0
24,Westmeath,88770,2020/03/01  ,0
25,Wexford,149722,2020/03/01  ,0
26,Wicklow,142425,2020/03/01  ,0
1,Carlow,56932,2020/03/02  ,0
2,Cavan,76176,2020/03/02  ,0
3,Clare,118817,2020/03/02  ,0
4,Cork,542868,2020/03/02  ,0
5,Donegal,159192,2020/03/02  ,0
6,Dublin,1347359,2020/03/02  ,1
7,Galway,258058,2020/03/02  ,0
8,Kerry,147707,2020/03/02  ,0
9,Kildare,222504,2020/03/02  ,0
10,Kilkenny,99232,2020/03/02  ,0
11,Laois,84697,2020/03/02  ,0
12,Leitrim,32044,2020/03/02  ,0
13,Limerick,194899,2020/03/02  ,0
14,Longford,40873,2020/03/02  ,0
15,Louth,128884,2020/03/02  ,0
16,Mayo,130507,2020/03/02  ,0
17,Meath,195044,2020/03/02  ,0
18,Monaghan,61386,2020/03/02  ,0
19,Offaly,77961,2020/03/02  ,0
20,Roscommon,64544,2020/03/02  ,0
21,Sligo,65535,2020/03/02  ,0
22,Tipperary,159553,2020/03/02  ,0
23,Waterford,116176,2020/03/02  ,0
24,Westmeath,88770,2020/03/02  ,0
25,Wexford,149722,2020/03/02  ,0
26,Wicklow,142425,2020/03/02  ,0
1,Carlow,56932,2020/03/03  ,0
2,Cavan,76176,2020/03/03  ,0
3,Clare,118817,2020/03/03  ,0
4,Cork,542868,2020/03/03  ,0
5,Donegal,159192,2020/03/03  ,0
6,Dublin,1347359,2020/03/03  ,1
7,Galway,258058,2020/03/03  ,0
8,Kerry,147707,2020/03/03  ,0
9,Kildare,222504,2020/03/03  ,0
10,Kilkenny,99232,2020/03/03  ,0
11,Laois,84697,2020/03/03  ,0
12,Leitrim,32044,2020/03/03  ,0
13,Limerick,194899,2020/03/03  ,0
14,Longford,40873,2020/03/03  ,0
15,Louth,128884,2020/03/03  ,1
16,Mayo,130507,2020/03/03  ,0
17,Meath,195044,2020/03/03  ,0
18,Monaghan,61386,2020/03/03  ,0
19,Offaly,77961,2020/03/03  ,0
20,Roscommon,64544,2020/03/03  ,0
21,Sligo,65535,2020/03/03  ,0
22,Tipperary,159553,2020/03/03  ,0
23,Waterford,116176,2020/03/03  ,0
24,Westmeath,88770,2020/03/03  ,0
25,Wexford,149722,2020/03/03  ,0
26,Wicklow,142425,2020/03/03  ,0
1,Carlow,56932,2020/03/04  ,0
2,Cavan,76176,2020/03/04  ,0
3,Clare,118817,2020/03/04  ,3
4,Cork,542868,2020/03/04  ,0
5,Donegal,159192,2020/03/04  ,0
6,Dublin,1347359,2020/03/04  ,1
7,Galway,258058,2020/03/04  ,0
8,Kerry,147707,2020/03/04  ,0
9,Kildare,222504,2020/03/04  ,0
10,Kilkenny,99232,2020/03/04  ,0
11,Laois,84697,2020/03/04  ,0
12,Leitrim,32044,2020/03/04  ,0
13,Limerick,194899,2020/03/04  ,0
14,Longford,40873,2020/03/04  ,0
15,Louth,128884,2020/03/04  ,1
16,Mayo,130507,2020/03/04  ,0
17,Meath,195044,2020/03/04  ,0
18,Monaghan,61386,2020/03/04  ,0
19,Offaly,77961,2020/03/04  ,0
20,Roscommon,64544,2020/03/04  ,0
21,Sligo,65535,2020/03/04  ,0
22,Tipperary,159553,2020/03/04  ,0
23,Waterford,116176,2020/03/04  ,0
24,Westmeath,88770,2020/03/04  ,0
25,Wexford,149722,2020/03/04  ,0
26,Wicklow,142425,2020/03/04  ,0
1,Carlow,56932,2020/03/05  ,0
2,Cavan,76176,2020/03/05  ,0
3,Clare,118817,2020/03/05  ,4
4,Cork,542868,2020/03/05  ,1
5,Donegal,159192,2020/03/05  ,0
6,Dublin,1347359,2020/03/05  ,1
7,Galway,258058,2020/03/05  ,1
8,Kerry,147707,2020/03/05  ,0
9,Kildare,222504,2020/03/05  ,0
10,Kilkenny,99232,2020/03/05  ,0
11,Laois,84697,2020/03/05  ,0
12,Leitrim,32044,2020/03/05  ,0
13,Limerick,194899,2020/03/05  ,0
14,Longford,40873,2020/03/05  ,0
15,Louth,128884,2020/03/05  ,1
16,Mayo,130507,2020/03/05  ,0
17,Meath,195044,2020/03/05  ,0
18,Monaghan,61386,2020/03/05  ,0
19,Offaly,77961,2020/03/05  ,0
20,Roscommon,64544,2020/03/05  ,0
21,Sligo,65535,2020/03/05  ,0
22,Tipperary,159553,2020/03/05  ,0
23,Waterford,116176,2020/03/05  ,0
24,Westmeath,88770,2020/03/05  ,0
25,Wexford,149722,2020/03/05  ,0
26,Wicklow,142425,2020/03/05  ,0
1,Carlow,56932,2020/03/06  ,0
2,Cavan,76176,2020/03/06  ,0
3,Clare,118817,2020/03/06  ,4
4,Cork,542868,2020/03/06  ,1
5,Donegal,159192,2020/03/06  ,0
6,Dublin,1347359,2020/03/06  ,2
7,Galway,258058,2020/03/06  ,2
8,Kerry,147707,2020/03/06  ,0
9,Kildare,222504,2020/03/06  ,0
10,Kilkenny,99232,2020/03/06  ,0
11,Laois,84697,2020/03/06  ,0
12,Leitrim,32044,2020/03/06  ,0
13,Limerick,194899,2020/03/06  ,0
14,Longford,40873,2020/03/06  ,0
15,Louth,128884,2020/03/06  ,1
16,Mayo,130507,2020/03/06  ,0
17,Meath,195044,2020/03/06  ,0
18,Monaghan,61386,2020/03/06  ,0
19,Offaly,77961,2020/03/06  ,0
20,Roscommon,64544,2020/03/06  ,0
21,Sligo,65535,2020/03/06  ,0
22,Tipperary,159553,2020/03/06  ,0
23,Waterford,116176,2020/03/06  ,0
24,Westmeath,88770,2020/03/06  ,0
25,Wexford,149722,2020/03/06  ,0
26,Wicklow,142425,2020/03/06  ,3
1,Carlow,56932,2020/03/07  ,0
2,Cavan,76176,2020/03/07  ,0
3,Clare,118817,2020/03/07  ,4
4,Cork,542868,2020/03/07  ,3
5,Donegal,159192,2020/03/07  ,0
6,Dublin,1347359,2020/03/07  ,2
7,Galway,258058,2020/03/07  ,3
8,Kerry,147707,2020/03/07  ,0
9,Kildare,222504,2020/03/07  ,0
10,Kilkenny,99232,2020/03/07  ,0
11,Laois,84697,2020/03/07  ,0
12,Leitrim,32044,2020/03/07  ,0
13,Limerick,194899,2020/03/07  ,0
14,Longford,40873,2020/03/07  ,0
15,Louth,128884,2020/03/07  ,1
16,Mayo,130507,2020/03/07  ,0
17,Meath,195044,2020/03/07  ,0
18,Monaghan,61386,2020/03/07  ,0
19,Offaly,77961,2020/03/07  ,0
20,Roscommon,64544,2020/03/07  ,0
21,Sligo,65535,2020/03/07  ,0
22,Tipperary,159553,2020/03/07  ,0
23,Waterford,116176,2020/03/07  ,0
24,Westmeath,88770,2020/03/07  ,0
25,Wexford,149722,2020/03/07  ,0
26,Wicklow,142425,2020/03/07  ,3
1,Carlow,56932,2020/03/08  ,0
2,Cavan,76176,2020/03/08  ,0
3,Clare,118817,2020/03/08  ,4
4,Cork,542868,2020/03/08  ,4
5,Donegal,159192,2020/03/08  ,0
6,Dublin,1347359,2020/03/08  ,3
7,Galway,258058,2020/03/08  ,3
8,Kerry,147707,2020/03/08  ,0
9,Kildare,222504,2020/03/08  ,0
10,Kilkenny,99232,2020/03/08  ,0
11,Laois,84697,2020/03/08  ,0
12,Leitrim,32044,2020/03/08  ,0
13,Limerick,194899,2020/03/08  ,0
14,Longford,40873,2020/03/08  ,0
15,Louth,128884,2020/03/08  ,1
16,Mayo,130507,2020/03/08  ,0
17,Meath,195044,2020/03/08  ,0
18,Monaghan,61386,2020/03/08  ,0
19,Offaly,77961,2020/03/08  ,0
20,Roscommon,64544,2020/03/08  ,0
21,Sligo,65535,2020/03/08  ,0
22,Tipperary,159553,2020/03/08  ,0
23,Waterford,116176,2020/03/08  ,0
24,Westmeath,88770,2020/03/08  ,0
25,Wexford,149722,2020/03/08  ,0
26,Wicklow,142425,2020/03/08  ,3
1,Carlow,56932,2020/03/09  ,0
2,Cavan,76176,2020/03/09  ,0
3,Clare,118817,2020/03/09  ,4
4,Cork,542868,2020/03/09  ,5
5,Donegal,159192,2020/03/09  ,0
6,Dublin,1347359,2020/03/09  ,4
7,Galway,258058,2020/03/09  ,5
8,Kerry,147707,2020/03/09  ,1
9,Kildare,222504,2020/03/09  ,0
10,Kilkenny,99232,2020/03/09  ,0
11,Laois,84697,2020/03/09  ,0
12,Leitrim,32044,2020/03/09  ,0
13,Limerick,194899,2020/03/09  ,0
14,Longford,40873,2020/03/09  ,0
15,Louth,128884,2020/03/09  ,1
16,Mayo,130507,2020/03/09  ,0
17,Meath,195044,2020/03/09  ,0
18,Monaghan,61386,2020/03/09  ,0
19,Offaly,77961,2020/03/09  ,0
20,Roscommon,64544,2020/03/09  ,0
